n_sets,b_size,assoc,repÄº,cache_size,instructions_used,load_stores,ul1_hits,ul1_misses
2,16,2,l,64,548131052,157194937,275192706,430134439
2,16,4,l,128,548131052,157194937,302108651,403218494
2,16,8,l,256,548131052,157194937,346094843,359232302
2,16,16,l,512,548131052,157194937,387248638,318078507
2,16,32,l,1024,548131052,157194937,435184810,270142335
2,16,64,l,2048,548131052,157194937,481387464,223939681
2,16,128,l,4096,548131052,157194937,534789525,170537620
2,16,256,l,8192,548131052,157194937,581306392,124020753
2,16,512,l,16384,548131052,157194937,617904538,87422607
2,16,1024,l,32768,548131052,157194937,670039078,35288067
4,16,2,l,128,548131052,157194937,302535047,402792098
4,16,4,l,256,548131052,157194937,344893086,360434059
4,16,8,l,512,548131052,157194937,387658334,317668811
4,16,16,l,1024,548131052,157194937,435637576,269689569
4,16,32,l,2048,548131052,157194937,481486752,223840393
4,16,64,l,4096,548131052,157194937,534898578,170428567
4,16,128,l,8192,548131052,157194937,581371030,123956115
4,16,256,l,16384,548131052,157194937,617958652,87368493
4,16,512,l,32768,548131052,157194937,670056197,35270948
4,16,1024,l,65536,548131052,157194937,696170170,9156975
8,16,2,l,256,548131052,157194937,339401402,365925743
8,16,4,l,512,548131052,157194937,387368970,317958175
8,16,8,l,1024,548131052,157194937,435770286,269556859
8,16,16,l,2048,548131052,157194937,481389547,223937598
8,16,32,l,4096,548131052,157194937,535059613,170267532
8,16,64,l,8192,548131052,157194937,581374176,123952969
8,16,128,l,16384,548131052,157194937,618006470,87320675
8,16,256,l,32768,548131052,157194937,670024145,35303000
8,16,512,l,65536,548131052,157194937,696172069,9155076
8,16,1024,l,131072,548131052,157194937,699149196,6177949
16,16,2,l,512,548131052,157194937,382968118,322359027
16,16,4,l,1024,548131052,157194937,434465396,270861749
16,16,8,l,2048,548131052,157194937,480849623,224477522
16,16,16,l,4096,548131052,157194937,534601492,170725653
16,16,32,l,8192,548131052,157194937,581307358,124019787
16,16,64,l,16384,548131052,157194937,618188189,87138956
16,16,128,l,32768,548131052,157194937,670030482,35296663
16,16,256,l,65536,548131052,157194937,696172923,9154222
16,16,512,l,131072,548131052,157194937,699149872,6177273
16,16,1024,l,262144,548131052,157194937,704699455,627690
32,16,2,l,1024,548131052,157194937,428698660,276628485
32,16,4,l,2048,548131052,157194937,479750473,225576672
32,16,8,l,4096,548131052,157194937,533856573,171470572
32,16,16,l,8192,548131052,157194937,581036335,124290810
32,16,32,l,16384,548131052,157194937,618578716,86748429
32,16,64,l,32768,548131052,157194937,669856349,35470796
32,16,128,l,65536,548131052,157194937,696172978,9154167
32,16,256,l,131072,548131052,157194937,699150917,6176228
32,16,512,l,262144,548131052,157194937,704697214,629931
32,16,1024,l,524288,548131052,157194937,705275042,52103
64,16,2,l,2048,548131052,157194937,474803233,230523912
64,16,4,l,4096,548131052,157194937,531143585,174183560
64,16,8,l,8192,548131052,157194937,579865820,125461325
64,16,16,l,16384,548131052,157194937,619272468,86054677
64,16,32,l,32768,548131052,157194937,669497833,35829312
64,16,64,l,65536,548131052,157194937,696165824,9161321
64,16,128,l,131072,548131052,157194937,699160668,6166477
64,16,256,l,262144,548131052,157194937,704682398,644747
64,16,512,l,524288,548131052,157194937,705275049,52096
64,16,1024,l,1048576,548131052,157194937,705276601,50544
128,16,2,l,4096,548131052,157194937,524062270,181264875
128,16,4,l,8192,548131052,157194937,577367067,127960078
128,16,8,l,16384,548131052,157194937,619507685,85819460
128,16,16,l,32768,548131052,157194937,668166147,37160998
128,16,32,l,65536,548131052,157194937,695958084,9369061
128,16,64,l,131072,548131052,157194937,699167990,6159155
128,16,128,l,262144,548131052,157194937,704666965,660180
128,16,256,l,524288,548131052,157194937,705275053,52092
128,16,512,l,1048576,548131052,157194937,705276601,50544
128,16,1024,l,2097152,548131052,157194937,705276601,50544
256,16,2,l,8192,548131052,157194937,569148963,136178182
256,16,4,l,16384,548131052,157194937,617480398,87846747
256,16,8,l,32768,548131052,157194937,666687113,38640032
256,16,16,l,65536,548131052,157194937,695689517,9637628
256,16,32,l,131072,548131052,157194937,699190693,6136452
256,16,64,l,262144,548131052,157194937,704638015,689130
256,16,128,l,524288,548131052,157194937,705275075,52070
256,16,256,l,1048576,548131052,157194937,705276601,50544
256,16,512,l,2097152,548131052,157194937,705276601,50544
256,16,1024,l,4194304,548131052,157194937,705276601,50544
512,16,2,l,16384,548131052,157194937,610200998,95126147
512,16,4,l,32768,548131052,157194937,663338171,41988974
512,16,8,l,65536,548131052,157194937,694917406,10409739
512,16,16,l,131072,548131052,157194937,699244236,6082909
512,16,32,l,262144,548131052,157194937,704553197,773948
512,16,64,l,524288,548131052,157194937,705275078,52067
512,16,128,l,1048576,548131052,157194937,705276601,50544
512,16,256,l,2097152,548131052,157194937,705276601,50544
512,16,512,l,4194304,548131052,157194937,705276601,50544
512,16,1024,l,8388608,548131052,157194937,705276601,50544
1024,16,2,l,32768,548131052,157194937,645487243,59839902
1024,16,4,l,65536,548131052,157194937,691924685,13402460
1024,16,8,l,131072,548131052,157194937,699330942,5996203
1024,16,16,l,262144,548131052,157194937,704360403,966742
1024,16,32,l,524288,548131052,157194937,705274955,52190
1024,16,64,l,1048576,548131052,157194937,705276601,50544
1024,16,128,l,2097152,548131052,157194937,705276601,50544
1024,16,256,l,4194304,548131052,157194937,705276601,50544
1024,16,512,l,8388608,548131052,157194937,705276601,50544
1024,16,1024,l,16777216,548131052,157194937,705276601,50544
